"","Xstart","Xstop","Aalpha","Abeta","Balpha","Bbeta","Hilln","Bthreshold","cpp"
"1",1.68530912232754,7.80694661696407,4.47168519364368,3.017748021839,6.19989778882427,2.07552984936228,205.627971926674,5.04302457283302,1
"2",3.01646348486938,7.0743250629343,4.8866090063575,6.67923563564727,5.16396655659719,3.21538672038514,160.709921073499,6.18795144030628,1
"3",2.05699083854506,7.74267529700496,3.41641256942239,2.14520452963825,6.46152124871605,6.4654542239623,199.330325652977,7.66353504628569,1
"4",1.29410690664222,7.49664348578594,7.07551181911185,7.77268231554444,7.36984820029193,4.45748065765201,190.658286109847,5.27850925201165,1
"5",2.67537933981553,7.58698691492896,3.67236523392876,5.93382108859714,5.40608315855934,5.66643257083342,130.263249278091,4.20721350973963,1
"6",2.29103117939949,7.51397496045047,2.93427899460767,5.70836358626366,6.51651391036012,3.32245581947518,111.926719608568,7.80833315316158,1
"7",2.76054422906809,8.44839717017894,3.8819550172957,3.13257519432682,2.03614902963182,4.21113235063331,141.992006000223,5.82176109764077,1
"8",3.47680006790697,7.91235935001091,3.33402920114622,4.73449554274339,3.37757893237722,7.5730249664457,158.815414298965,5.62511686624021,1
"9",3.44388747569333,7.35608833297101,6.99120647805557,5.95503984434799,6.64472480830682,3.03080984056578,124.834352135572,1.96699255010572,1
"10",3.21596863988025,7.38272742335703,4.40460174301279,3.14576238208247,4.80977260242071,4.26873657547731,209.809869005612,7.48444748889142,1
"11",2.44890431519734,7.16930223886857,4.55778479793025,5.52785857491472,6.97205981412935,5.32010113347496,221.942494723489,7.02711571700092,1
"12",2.92507610324733,6.94968655012385,3.7389356354015,3.49336232482983,6.5349525325928,5.87073926089943,173.94446261339,2.45123770504506,1
"13",2.646992002875,7.02282904343479,5.72349138516074,5.86135818956791,2.26903214546383,4.98313464504008,200.55328389205,3.57395778288719,1
"14",1.58909488966669,6.62055423489637,2.50452091486295,5.79669127394027,3.81399763828085,4.44277720297123,149.925187341601,2.41025909712334,1
"15",3.40857171472835,7.1366142858476,4.49915371327279,4.79051862344022,2.24286185818983,6.80377503917498,100.318470371644,7.16684342909957,1
